Interation;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
1;treapTree;OrderedInverse;10000;1.401;11;4.407;18;1.511;7;
1;redBlackTree;Random;10000;15.025;65;5.61;32;5.996;52;
1;binarySearchTree;Random;10000;12.748;43;8.225;41;6.131;38;
1;treapTree;Random;10000;10.187;15;1.381;16;1.616;15;
1;redBlackTree;AlmostOrdered;10000;4.515;112;51.012;40;17.278;53;
1;avlTree;Random;10000;52.663;48;2.384;32;32.588;44;
1;redBlackTree;OrderedInverse;10000;19.187;107;0.671;31;1.142;73;
1;avlTree;AlmostOrdered;10000;0.935;51;2.1;31;0.715;38;
1;treapTree;AlmostOrdered;10000;274.508;12;2.484;17;0.967;11;
1;binarySearch;Ordered;10000;1.693;27;4.026;28;1407.75;5032;
1;binarySearch;Random;10000;719.171;2538;1.195;28;667.143;2520;
1;binarySearch;OrderedInverse;10000;1305.56;5036;0.586;28;5.566;24;
1;binarySearch;AlmostOrdered;10000;262.006;654;1.025;28;1006.35;4404;
1;linearSearch;Random;10000;394.533;5003;659.404;10002;481.353;10003;
1;binarySearchTree;AlmostOrdered;10000;1078.89;11268;667.321;11266;0.484;17;
1;linearSearch;OrderedInverse;10000;603.905;5003;714.718;10002;312.005;10003;
1;linearSearch;AlmostOrdered;10000;413.936;5003;974.737;10002;472.206;10003;
1;linearSearch;Ordered;10000;534.48;5003;1035.75;10002;438.345;10003;
1;binarySearchTree;OrderedInverse;10000;1438.47;10001;573.626;9999;0.136;3;
1;binarySearchTree;Ordered;10000;1507.52;15000;537.26;14998;0.141;3;
1;avlTree;Ordered;100000;33.246;69;140.9;39;77.313;40;
1;avlTree;OrderedInverse;100000;245.647;54;201.855;39;145.995;51;
1;treapTree;Ordered;100000;85.127;10;504.055;20;57.595;11;
1;redBlackTree;OrderedInverse;100000;638.531;137;219.6;40;357.9;93;
1;binarySearchTree;Random;100000;402.819;52;397.902;50;407.194;47;
1;treapTree;OrderedInverse;100000;946.657;12;206.116;21;31.23;10;
1;redBlackTree;Ordered;100000;836.527;165;186.022;41;387.834;74;
1;treapTree;AlmostOrdered;100000;979.127;15;228.027;21;172.453;15;
1;avlTree;AlmostOrdered;100000;661.082;63;208.566;40;211.844;49;
1;avlTree;Random;100000;579.42;60;369.788;40;364.594;56;
1;redBlackTree;AlmostOrdered;100000;936.829;147;224.506;53;347.551;65;
1;redBlackTree;Random;100000;788.087;81;389.047;40;495.528;64;
1;treapTree;Random;100000;1332.66;21;410.764;21;240.601;20;
1;binarySearch;Ordered;100000;28.584;34;131.952;36;119839;7092;
1;binarySearch;AlmostOrdered;100000;18174.6;6268;112.631;36;105829;858;
1;binarySearch;Random;100000;72991.9;-1404644005;215.851;36;57899.6;-1404644029;
1;binarySearch;OrderedInverse;100000;135640;7096;76.618;36;74.914;31;
1;linearSearch;AlmostOrdered;100000;49876;7053;89570;14102;42065.9;14103;
1;linearSearch;Random;100000;52456.5;7053;87879.7;14102;42634.6;14103;
1;linearSearch;OrderedInverse;100000;52021.2;7053;90004.4;14102;41325.1;14103;
1;linearSearch;Ordered;100000;51140.8;7053;90393.5;14102;43217;14103;
1;binarySearchTree;AlmostOrdered;100000;130744;-1404642429;56514.7;-1404642431;27.469;24;
1;binarySearchTree;OrderedInverse;100000;140972;14101;52552.8;14099;1.755;3;
1;binarySearchTree;Ordered;100000;154274;21151;41924.1;21149;1.763;3;
1;avlTree;OrderedInverse;1000000;17544.3;63;1915.96;47;2112.89;61;
1;avlTree;Ordered;1000000;18555.3;82;2082.14;47;1959.71;47;
1;treapTree;Ordered;1000000;19928.5;15;2652.93;26;1121.72;12;
1;binarySearchTree;Random;1000000;10164.5;63;6714.35;61;9544.84;58;
1;treapTree;OrderedInverse;1000000;23169.1;13;2303.54;25;1619.67;13;
1;redBlackTree;OrderedInverse;1000000;25296.4;167;2918.82;48;3973.61;113;
1;redBlackTree;Ordered;1000000;27778.1;201;2264.96;49;3357.49;89;
1;avlTree;AlmostOrdered;1000000;25386.6;75;5756.03;49;6783.71;59;
1;redBlackTree;AlmostOrdered;1000000;30541.9;179;6683.54;64;7401.67;78;
1;treapTree;AlmostOrdered;1000000;30733.7;19;8283.73;25;5754.99;18;
1;avlTree;Random;1000000;30071.6;71;10929.8;49;10958.3;67;
1;redBlackTree;Random;1000000;31630.5;98;10779.1;49;11907.6;76;
1;treapTree;Random;1000000;36281.7;24;14926;25;8455.14;25;
1;binarySearch;Ordered;1000000;2004.44;40;1580.94;44;1.31732e+07;1836;
1;binarySearch;AlmostOrdered;1000000;1.77875e+06;-140464487;1757.66;44;1.18672e+07;-140463154;
1;binarySearch;Random;1000000;7.45984e+06;1125;2867.48;44;6.499e+06;749;
1;binarySearch;OrderedInverse;1000000;1.45431e+07;1840;636.653;44;486.098;37;
1;linearSearch;AlmostOrdered;1000000;5.43214e+06;1786;9.64303e+06;-140463337;4.58758e+06;-140463336;
1;linearSearch;Ordered;1000000;5.34692e+06;1787;9.6949e+06;-140463336;4.6573e+06;-140463335;
1;linearSearch;OrderedInverse;1000000;5.36513e+06;1787;9.71814e+06;-140463336;4.6435e+06;-140463335;
1;linearSearch;Random;1000000;5.36147e+06;1787;9.7178e+06;-140463336;4.6619e+06;-140463335;
1;binarySearchTree;AlmostOrdered;1000000;1.85882e+07;-140462861;4.71695e+06;-140462863;654.518;30;
1;binarySearchTree;OrderedInverse;1000000;2.03905e+07;-140463337;4.28794e+06;-140463339;38.207;3;
1;binarySearchTree;Ordered;1000000;2.07217e+07;1056;4.10028e+06;1054;16.648;3;
