Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
1;TreapTree;Ordered;10;0.011;1;0.005;3;0.005;2
1;AVLTree;Ordered;10;0.01;14;0.005;7;0.006;9
1;RedBlackTree;Ordered;10;0.012;21;0.005;8;0.008;17
1;BinarySearchTree;Ordered;10;0.008;8;0.004;12;0.004;13
1;BinarySearch;Ordered;10;0.005;8;0.004;4;0.005;10
1;LinearSearch;Ordered;10;0.006;1;0.004;0;0.003;1
1;TreapTree;OrderedInverse;10;0.007;1;0.003;3;0.005;1
1;AVLTree;OrderedInverse;10;0.007;12;0.003;7;0.005;11
1;RedBlackTree;OrderedInverse;10;0.037;18;0.004;7;0.009;18
1;BinarySearchTree;OrderedInverse;10;0.006;8;0.004;12;0.003;13
1;BinarySearch;OrderedInverse;10;0.007;13;0.004;4;0.004;5
1;LinearSearch;OrderedInverse;10;0.006;1;0.004;0;0.004;1
1;TreapTree;AlmostOrdered;10;0.006;1;0.004;3;0.004;2
1;AVLTree;AlmostOrdered;10;0.006;14;0.004;8;0.005;9
1;RedBlackTree;AlmostOrdered;10;0.009;19;0.004;8;0.008;17
1;BinarySearchTree;AlmostOrdered;10;0.005;8;0.003;12;0.003;13
1;BinarySearch;AlmostOrdered;10;0.006;8;0.004;4;0.005;9
1;LinearSearch;AlmostOrdered;10;0.005;1;0.004;0;0.003;1
1;TreapTree;Random;10;0.008;3;0.004;4;0.005;2
1;AVLTree;Random;10;0.005;12;0.004;8;0.006;10
1;RedBlackTree;Random;10;0.011;15;0.004;7;0.01;16
1;BinarySearchTree;Random;10;0.007;8;0.004;12;0.004;13
1;BinarySearch;Random;10;0.009;9;0.005;4;0.005;8
1;LinearSearch;Random;10;0.007;1;0.003;0;0.005;1
1;TreapTree;Ordered;100;0.046;4;0.03;6;0.024;3
1;AVLTree;Ordered;100;0.04;29;0.029;14;0.031;17
1;RedBlackTree;Ordered;100;0.131;55;0.029;16;0.052;29
1;BinarySearchTree;Ordered;100;0.071;53;0.1;102;0.102;103
1;BinarySearch;Ordered;100;0.028;14;0.033;11;0.077;63
1;LinearSearch;Ordered;100;0.116;1;0.082;0;0.012;1
1;TreapTree;OrderedInverse;100;0.043;3;0.032;7;0.027;4
1;AVLTree;OrderedInverse;100;0.038;23;0.028;15;0.034;21
1;RedBlackTree;OrderedInverse;100;0.099;47;0.027;15;0.054;34
1;BinarySearchTree;OrderedInverse;100;0.06;53;0.101;102;0.103;103
1;BinarySearch;OrderedInverse;100;0.095;66;0.034;11;0.023;11
1;LinearSearch;OrderedInverse;100;0.108;1;0.077;0;0.013;1
1;TreapTree;AlmostOrdered;100;0.053;6;0.035;8;0.038;4
1;AVLTree;AlmostOrdered;100;0.049;26;0.03;15;0.043;19
1;RedBlackTree;AlmostOrdered;100;0.104;48;0.031;17;0.095;28
1;BinarySearchTree;AlmostOrdered;100;0.061;53;0.1;102;0.101;103
1;BinarySearch;AlmostOrdered;100;0.056;21;0.038;11;0.077;55
1;LinearSearch;AlmostOrdered;100;0.1;1;0.072;0;0.025;1
1;TreapTree;Random;100;0.066;6;0.04;6;0.054;6
1;AVLTree;Random;100;0.058;24;0.035;15;0.054;21
1;RedBlackTree;Random;100;0.1;31;0.034;15;0.072;28
1;BinarySearchTree;Random;100;0.067;53;0.1;102;0.103;103
1;BinarySearch;Random;100;0.088;41;0.045;11;0.075;34
1;LinearSearch;Random;100;0.07;1;0.035;0;0.042;2
1;TreapTree;Ordered;1000;0.504;6;0.441;11;0.262;5
1;AVLTree;Ordered;1000;0.524;42;0.342;22;0.342;24
1;RedBlackTree;Ordered;1000;2.022;92;0.423;24;0.833;43
1;BinarySearchTree;Ordered;1000;4.725;503;8.286;1002;5.432;1003
1;BinarySearch;Ordered;1000;0.244;20;0.266;19;3.885;522
1;LinearSearch;Ordered;1000;3.336;1;3.082;0;0.074;1
1;TreapTree;OrderedInverse;1000;0.205;6;0.19;11;0.136;5
1;AVLTree;OrderedInverse;1000;0.217;33;0.11;23;0.112;31
1;RedBlackTree;OrderedInverse;1000;0.513;77;0.125;23;0.192;53
1;BinarySearchTree;OrderedInverse;1000;1.342;503;2.605;1002;2.392;1003
1;BinarySearch;OrderedInverse;1000;1.726;526;0.105;19;0.071;17
1;LinearSearch;OrderedInverse;1000;1.878;1;1.685;0;0.035;1
1;TreapTree;AlmostOrdered;1000;0.183;10;0.124;13;0.112;8
1;AVLTree;AlmostOrdered;1000;0.149;38;0.103;23;0.121;29
1;RedBlackTree;AlmostOrdered;1000;0.392;81;0.125;28;0.223;40
1;BinarySearchTree;AlmostOrdered;1000;1.165;503;2.23;1002;2.223;1002
1;BinarySearch;AlmostOrdered;1000;0.315;84;0.118;19;1.167;458
1;LinearSearch;AlmostOrdered;1000;1.577;1;1.379;0;0.067;1
1;TreapTree;Random;1000;0.22;10;0.131;11;0.163;10
1;AVLTree;Random;1000;0.182;36;0.118;23;0.158;32
1;RedBlackTree;Random;1000;0.32;48;0.116;23;0.195;40
1;BinarySearchTree;Random;1000;1.104;503;2.147;1002;2.188;1002
1;BinarySearch;Random;1000;1.091;275;0.162;19;0.799;266
1;LinearSearch;Random;1000;0.153;1;0.102;0;0.126;2
1;TreapTree;Ordered;10000;1.092;8;1.432;15;1.099;8
1;AVLTree;Ordered;10000;1.863;56;1.033;31;0.837;32
1;RedBlackTree;Ordered;10000;5.082;129;1.053;33;1.744;59
1;BinarySearchTree;Ordered;10000;90.831;5003;174.068;10002;174.123;10003
1;BinarySearch;Ordered;10000;0.86;27;1.022;28;98.23;5032
1;LinearSearch;Ordered;10000;166.861;1;149.817;0;0.185;1
1;TreapTree;OrderedInverse;10000;0.907;8;1.066;15;0.641;8
1;AVLTree;OrderedInverse;10000;0.99;44;0.788;31;0.669;41
1;RedBlackTree;OrderedInverse;10000;3.876;107;0.803;31;1.466;73
1;BinarySearchTree;OrderedInverse;10000;86.765;5003;171.766;10002;170.193;10003
1;BinarySearch;OrderedInverse;10000;118.39;5036;0.951;28;0.663;24
1;LinearSearch;OrderedInverse;10000;152.147;1;134.198;0;0.181;1
1;TreapTree;AlmostOrdered;10000;1.538;12;1.455;17;1.168;12
1;AVLTree;AlmostOrdered;10000;1.357;51;1.036;31;1.103;39
1;RedBlackTree;AlmostOrdered;10000;4.085;113;1.184;39;1.539;52
1;BinarySearchTree;AlmostOrdered;10000;84.728;5003;173.168;10002;171.664;10002
1;BinarySearch;AlmostOrdered;10000;15.885;662;1.201;28;82.437;4396
1;LinearSearch;AlmostOrdered;10000;113.233;1;109.038;0;0.663;1
1;TreapTree;Random;10000;2.321;15;1.755;15;1.893;15
1;AVLTree;Random;10000;1.89;47;1.399;31;1.746;43
1;RedBlackTree;Random;10000;3.465;65;1.445;32;2.016;52
1;BinarySearchTree;Random;10000;85.173;5003;171.066;10002;171.203;10003
1;BinarySearch;Random;10000;60.737;2539;1.526;28;47.11;2519
1;LinearSearch;Random;10000;1.52;1;1.197;0;1.318;2
1;TreapTree;Ordered;100000;11.48;11;14.329;20;7.248;10
1;AVLTree;Ordered;100000;14.806;69;11.315;39;9.379;40
1;RedBlackTree;Ordered;100000;54.249;165;13.159;41;23.977;74
1;BinarySearchTree;Ordered;100000;8783.88;7053;17664.8;14102;17728.6;14103
1;BinarySearch;Ordered;100000;9.62;34;12.291;36;10275.3;7092
1;LinearSearch;Ordered;100000;16527.4;1;16503.7;0;2.552;1
1;TreapTree;OrderedInverse;100000;12.565;11;16.776;21;8.561;10
1;AVLTree;OrderedInverse;100000;16.284;54;11.858;39;10.898;51
1;RedBlackTree;OrderedInverse;100000;60.45;137;12.71;40;25.28;93
1;BinarySearchTree;OrderedInverse;100000;9912.88;7053;19238.3;14102;19380.2;14103
1;BinarySearch;OrderedInverse;100000;14280.9;7096;13.973;36;10.045;31
1;LinearSearch;OrderedInverse;100000;15261;1;13965.2;0;2.326;1
1;TreapTree;AlmostOrdered;100000;24.228;17;23.134;22;19.048;15
1;AVLTree;AlmostOrdered;100000;21.998;63;17.06;40;19.243;49
1;RedBlackTree;AlmostOrdered;100000;61.32;147;20.377;52;25.549;66
1;BinarySearchTree;AlmostOrdered;100000;9141.78;7053;17813.8;14102;17837.6;14103
1;BinarySearch;AlmostOrdered;100000;1628.48;6283;16.445;36;9188.26;843
1;LinearSearch;AlmostOrdered;100000;11939.1;1;11519.2;0;12.289;1
1;TreapTree;Random;100000;38.157;20;31.633;21;33.495;20
1;AVLTree;Random;100000;30.06;59;22.728;40;28.486;55
1;RedBlackTree;Random;100000;48.781;81;23.7;40;32.995;64
1;BinarySearchTree;Random;100000;9125.78;7053;17686.4;14102;17671.3;14103
1;BinarySearch;Random;100000;6481.14;-1404644098;21.311;36;4952.61;-1404643936
1;LinearSearch;Random;100000;22.816;1;20.782;0;23.988;2
1;TreapTree;Ordered;1000000;210.839;13;187.806;25;92.399;12
1;AVLTree;Ordered;1000000;193.008;82;160.432;47;121.759;47
1;RedBlackTree;Ordered;1000000;688.5;201;166.497;49;309.639;89
