Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
1;BinarySearchTree;Ordered;1000000;882728;1787;1.76855e+06;-140463336;1.77317e+06;-140463335
1;BinarySearch;Ordered;1000000;133.668;40;162.64;44;1.00601e+06;1836
1;LinearSearch;Ordered;1000000;2.39779e+06;1;2.34448e+06;0;32.103;1
1;TreapTree;OrderedInverse;1000000;126.578;13;184.023;25;96.453;12
1;AVLTree;OrderedInverse;1000000;194.364;63;151.863;47;131.79;61
1;RedBlackTree;OrderedInverse;1000000;669.462;167;160.68;48;302.404;113
1;BinarySearchTree;OrderedInverse;1000000;882276;1787;1.76656e+06;-140463336;1.82498e+06;-140463335
1;BinarySearch;OrderedInverse;1000000;1.35214e+06;1840;159.709;44;125.874;37
1;LinearSearch;OrderedInverse;1000000;2.40752e+06;1;2.57067e+06;0;35.954;1
1;TreapTree;AlmostOrdered;1000000;731.646;19;754.668;25;580.805;18
1;AVLTree;AlmostOrdered;1000000;538.882;75;479.159;49;577.667;59
1;RedBlackTree;AlmostOrdered;1000000;1080.82;179;560.216;64;772.281;78
1;BinarySearchTree;AlmostOrdered;1000000;913345;1787;1.84158e+06;-140463336;1.82596e+06;-140463335
1;BinarySearch;AlmostOrdered;1000000;177234;-140464609;240.901;44;1.11257e+06;-140463031
1;LinearSearch;AlmostOrdered;1000000;2.0686e+06;1;2.02532e+06;0;423.752;1
1;TreapTree;Random;1000000;1540.2;24;1586.12;25;1351.08;25
1;AVLTree;Random;1000000;1101.39;71;971.21;48;1250.28;67
1;RedBlackTree;Random;1000000;1400.04;98;980.737;48;1459.84;76
1;BinarySearchTree;Random;1000000;908782;1787;1.81921e+06;-140463336;1.76978e+06;-140463335
1;BinarySearch;Random;1000000;681039;888;305.102;44;501544;987
1;LinearSearch;Random;1000000;669.264;1;697.783;0;714.138;2
