Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
6;BinarySearch;Ordered;10;0.001;8;0.002;4;0.001;10;
6;LinearSearch;Ordered;10;0.002;15;0.001;16;0.001;5;
6;TreapTree;OrderedInverse;10;0.002;1;0.001;2;0.002;2;
6;AVLTree;OrderedInverse;10;0.002;12;0.001;7;0.001;11;
6;RedBlackTree;OrderedInverse;10;0.002;18;0.001;7;0.002;18;
6;BinarySearchTree;OrderedInverse;10;0.002;8;0.001;12;0.001;13;
6;BinarySearch;OrderedInverse;10;0.002;13;0.001;4;0.001;5;
6;LinearSearch;OrderedInverse;10;0.001;11;0.001;12;0.001;5;
6;TreapTree;AlmostOrdered;10;0.001;2;0.001;3;0.001;1;
6;AVLTree;AlmostOrdered;10;0.002;14;0.001;7;0.001;10;
6;RedBlackTree;AlmostOrdered;10;0.005;20;0.001;8;0.002;17;
6;BinarySearchTree;AlmostOrdered;10;0.001;8;0;12;0;13;
6;BinarySearch;AlmostOrdered;10;0.001;8;0.001;4;0.001;9;
6;LinearSearch;AlmostOrdered;10;0.002;14;0.001;15;0.001;5;
6;TreapTree;Random;10;0.002;2;0.001;3;0.002;2;
6;AVLTree;Random;10;0.001;11;0;7;0.001;11;
6;RedBlackTree;Random;10;0.003;14;0.001;7;0.002;18;
6;BinarySearchTree;Random;10;0.002;8;0.001;12;0.001;13;
6;BinarySearch;Random;10;0.001;10;0.001;4;0.001;6;
6;LinearSearch;Random;10;0.001;8;0.001;9;0.001;7;
6;TreapTree;Ordered;100;0.011;3;0.007;7;0.006;4;
6;AVLTree;Ordered;100;0.01;29;0.007;14;0.008;17;
6;RedBlackTree;Ordered;100;0.022;55;0.007;16;0.012;29;
6;BinarySearchTree;Ordered;100;0.017;53;0.023;102;0.024;102;
6;BinarySearch;Ordered;100;0.007;14;0.008;11;0.018;63;
6;LinearSearch;Ordered;100;0.063;150;0.05;151;0.003;5;
6;TreapTree;OrderedInverse;100;0.01;3;0.007;6;0.006;3;
6;AVLTree;OrderedInverse;100;0.009;23;0.007;15;0.008;21;
6;RedBlackTree;OrderedInverse;100;0.023;47;0.007;15;0.012;34;
6;BinarySearchTree;OrderedInverse;100;0.018;53;0.025;102;0.024;102;
6;BinarySearch;OrderedInverse;100;0.022;66;0.007;11;0.005;11;
6;LinearSearch;OrderedInverse;100;0.055;101;0.064;102;0.003;5;
6;TreapTree;AlmostOrdered;100;0.013;4;0.008;7;0.01;5;
6;AVLTree;AlmostOrdered;100;0.012;26;0.007;15;0.011;19;
6;RedBlackTree;AlmostOrdered;100;0.024;48;0.008;17;0.015;28;
6;BinarySearchTree;AlmostOrdered;100;0.016;53;0.024;102;0.025;103;
6;BinarySearch;AlmostOrdered;100;0.011;20;0.009;11;0.019;56;
6;LinearSearch;AlmostOrdered;100;0.049;121;0.042;122;0.006;10;
6;TreapTree;Random;100;0.015;7;0.009;7;0.013;6;
6;AVLTree;Random;100;0.014;25;0.009;15;0.013;20;
6;RedBlackTree;Random;100;0.022;32;0.009;15;0.017;28;
6;BinarySearchTree;Random;100;0.013;52;0.023;101;0.024;102;
6;BinarySearch;Random;100;0.02;39;0.011;11;0.015;36;
6;LinearSearch;Random;100;0.011;18;0.009;19;0.01;15;
6;TreapTree;Ordered;1000;0.123;6;0.096;11;0.063;5;
6;AVLTree;Ordered;1000;0.116;42;0.082;22;0.073;24;
6;RedBlackTree;Ordered;1000;0.367;92;0.089;24;0.126;43;
6;BinarySearchTree;Ordered;1000;1.091;503;2.151;1002;2.146;1003;
6;BinarySearch;Ordered;1000;0.076;20;0.089;19;1.324;522;
6;LinearSearch;Ordered;1000;6.31;1500;5.245;1501;0.027;5;
6;TreapTree;OrderedInverse;1000;0.11;6;0.101;12;0.072;7;
6;AVLTree;OrderedInverse;1000;0.115;33;0.078;23;0.076;31;
6;RedBlackTree;OrderedInverse;1000;0.355;77;0.089;23;0.145;53;
6;BinarySearchTree;OrderedInverse;1000;1.097;503;2.136;1002;2.144;1003;
6;BinarySearch;OrderedInverse;1000;2.372;526;0.137;19;0.105;17;
6;LinearSearch;OrderedInverse;1000;5.946;1001;5.072;1002;0.028;5;
6;TreapTree;AlmostOrdered;1000;0.163;9;0.124;12;0.115;7;
6;AVLTree;AlmostOrdered;1000;0.161;38;0.098;23;0.117;29;
6;RedBlackTree;AlmostOrdered;1000;0.366;81;0.108;29;0.152;40;
6;BinarySearchTree;AlmostOrdered;1000;1.101;503;2.151;1002;2.196;1002;
6;BinarySearch;AlmostOrdered;1000;0.447;85;0.128;19;1.311;456;
6;LinearSearch;AlmostOrdered;1000;4.629;1137;4.694;1138;0.072;13;
6;TreapTree;Random;1000;0.24;10;0.131;11;0.159;10;
6;AVLTree;Random;1000;0.182;36;0.119;23;0.154;32;
6;RedBlackTree;Random;1000;0.321;48;0.128;23;0.238;40;
6;BinarySearchTree;Random;1000;1.12;503;2.189;1002;2.155;1003;
6;BinarySearch;Random;1000;0.923;274;0.132;19;0.718;268;
6;LinearSearch;Random;1000;0.172;30;0.128;31;0.132;28;
7;TreapTree;Ordered;10;0.003;2;0.001;3;0.001;1;
7;AVLTree;Ordered;10;0.002;14;0.002;7;0.002;9;
7;RedBlackTree;Ordered;10;0.003;21;0.001;8;0.003;17;
7;BinarySearchTree;Ordered;10;0.002;8;0.001;12;0.001;13;
7;BinarySearch;Ordered;10;0.002;8;0.001;4;0.001;10;
7;LinearSearch;Ordered;10;0.001;15;0.001;16;0.001;5;
7;TreapTree;OrderedInverse;10;0.002;1;0.001;3;0.001;2;
7;AVLTree;OrderedInverse;10;0.002;12;0.001;7;0.002;11;
7;RedBlackTree;OrderedInverse;10;0.002;18;0;7;0.002;18;
7;BinarySearchTree;OrderedInverse;10;0.001;8;0;12;0.001;13;
7;BinarySearch;OrderedInverse;10;0.001;13;0.001;4;0.001;5;
7;LinearSearch;OrderedInverse;10;0.001;11;0.001;12;0.001;5;
7;TreapTree;AlmostOrdered;10;0.002;2;0.001;3;0.001;2;
7;AVLTree;AlmostOrdered;10;0.001;13;0;7;0.001;10;
7;RedBlackTree;AlmostOrdered;10;0.002;19;0;7;0.001;15;
7;BinarySearchTree;AlmostOrdered;10;0.001;8;0.001;12;0.001;13;
7;BinarySearch;AlmostOrdered;10;0.001;8;0.001;4;0.001;9;
7;LinearSearch;AlmostOrdered;10;0.002;14;0.001;15;0.001;5;
7;TreapTree;Random;10;0.002;2;0.001;3;0.001;2;
7;AVLTree;Random;10;0.001;11;0.001;8;0.001;10;
7;RedBlackTree;Random;10;0.002;14;0.001;8;0.001;15;
7;BinarySearchTree;Random;10;0.001;8;0;12;0.001;13;
7;BinarySearch;Random;10;0.001;10;0.001;4;0.002;7;
7;LinearSearch;Random;10;0.001;7;0.001;8;0.001;8;
7;TreapTree;Ordered;100;0.011;4;0.007;7;0.006;3;
7;AVLTree;Ordered;100;0.01;29;0.007;14;0.008;17;
7;RedBlackTree;Ordered;100;0.026;55;0.008;16;0.012;29;
7;BinarySearchTree;Ordered;100;0.014;53;0.023;102;0.024;103;
7;BinarySearch;Ordered;100;0.006;14;0.008;11;0.019;63;
7;LinearSearch;Ordered;100;0.056;150;0.049;151;0.003;5;
7;TreapTree;OrderedInverse;100;0.011;4;0.008;7;0.007;4;
7;AVLTree;OrderedInverse;100;0.009;23;0.007;15;0.009;21;
7;RedBlackTree;OrderedInverse;100;0.024;47;0.007;15;0.012;34;
7;BinarySearchTree;OrderedInverse;100;0.014;53;0.026;102;0.024;103;
7;BinarySearch;OrderedInverse;100;0.022;66;0.008;11;0.006;11;
7;LinearSearch;OrderedInverse;100;0.055;101;0.048;102;0.003;5;
7;TreapTree;AlmostOrdered;100;0.014;6;0.009;7;0.009;4;
7;AVLTree;AlmostOrdered;100;0.012;27;0.007;15;0.011;19;
7;RedBlackTree;AlmostOrdered;100;0.026;48;0.008;17;0.015;28;
7;BinarySearchTree;AlmostOrdered;100;0.015;53;0.026;102;0.028;103;
7;BinarySearch;AlmostOrdered;100;0.015;21;0.01;11;0.023;55;
7;LinearSearch;AlmostOrdered;100;0.049;121;0.042;122;0.006;10;
7;TreapTree;Random;100;0.015;5;0.008;6;0.012;6;
7;AVLTree;Random;100;0.014;24;0.009;15;0.013;20;
7;RedBlackTree;Random;100;0.022;31;0.008;15;0.018;29;
7;BinarySearchTree;Random;100;0.015;53;0.024;102;0.024;103;
7;BinarySearch;Random;100;0.021;40;0.01;11;0.015;35;
7;LinearSearch;Random;100;0.01;16;0.008;17;0.009;15;
7;TreapTree;Ordered;1000;0.125;6;0.096;11;0.063;5;
7;AVLTree;Ordered;1000;0.117;42;0.082;22;0.073;24;
7;RedBlackTree;Ordered;1000;0.369;92;0.089;24;0.124;43;
7;BinarySearchTree;Ordered;1000;1.09;503;2.155;1002;2.146;1003;
7;BinarySearch;Ordered;1000;0.111;20;0.117;19;1.537;522;
7;LinearSearch;Ordered;1000;5.928;1500;5.13;1501;0.024;5;
7;TreapTree;OrderedInverse;1000;0.107;6;0.088;10;0.068;5;
7;AVLTree;OrderedInverse;1000;0.151;33;0.079;23;0.074;31;
7;RedBlackTree;OrderedInverse;1000;0.35;77;0.08;23;0.132;53;
7;BinarySearchTree;OrderedInverse;1000;1.092;503;2.142;1002;2.142;1003;
7;BinarySearch;OrderedInverse;1000;2.58;526;0.125;19;0.096;17;
7;LinearSearch;OrderedInverse;1000;6.902;1001;5.568;1002;0.072;5;
7;TreapTree;AlmostOrdered;1000;0.203;8;0.123;11;0.122;8;
7;AVLTree;AlmostOrdered;1000;0.197;38;0.115;23;0.141;29;
7;RedBlackTree;AlmostOrdered;1000;0.422;81;0.113;29;0.165;40;
7;BinarySearchTree;AlmostOrdered;1000;1.117;503;2.131;1002;2.145;1002;
7;BinarySearch;AlmostOrdered;1000;0.453;84;0.136;19;1.826;458;
7;LinearSearch;AlmostOrdered;1000;5.801;1138;4.653;1139;0.093;14;
7;TreapTree;Random;1000;0.251;10;0.157;12;0.174;10;
7;AVLTree;Random;1000;0.196;36;0.123;23;0.161;32;
7;RedBlackTree;Random;1000;0.325;48;0.138;23;0.221;40;
7;BinarySearchTree;Random;1000;1.098;503;2.125;1002;2.176;1003;
7;BinarySearch;Random;1000;0.878;267;0.13;19;0.725;274;
7;LinearSearch;Random;1000;0.164;28;0.126;29;0.128;24;
8;TreapTree;Ordered;10;0.005;2;0.001;3;0.001;1;
8;AVLTree;Ordered;10;0.003;14;0.001;7;0.001;9;
8;RedBlackTree;Ordered;10;0.003;21;0.001;8;0.002;17;
8;BinarySearchTree;Ordered;10;0.001;8;0.001;12;0.001;13;
8;BinarySearch;Ordered;10;0.002;8;0.001;4;0.002;10;
8;LinearSearch;Ordered;10;0.001;15;0.001;16;0.001;5;
8;TreapTree;OrderedInverse;10;0.002;1;0.001;3;0.002;1;
8;AVLTree;OrderedInverse;10;0.002;12;0.001;7;0.002;11;
8;RedBlackTree;OrderedInverse;10;0.002;18;0.001;7;0.002;18;
8;BinarySearchTree;OrderedInverse;10;0.001;8;0.001;12;0;13;
8;BinarySearch;OrderedInverse;10;0.001;13;0.001;4;0.001;5;
8;LinearSearch;OrderedInverse;10;0.001;11;0.001;12;0.001;5;
8;TreapTree;AlmostOrdered;10;0.002;4;0.001;4;0.002;1;
8;AVLTree;AlmostOrdered;10;0.002;14;0.001;7;0.001;10;
8;RedBlackTree;AlmostOrdered;10;0.002;20;0.001;8;0.002;17;
8;BinarySearchTree;AlmostOrdered;10;0.002;8;0.001;12;0.001;13;
8;BinarySearch;AlmostOrdered;10;0.002;8;0.001;4;0.002;9;
8;LinearSearch;AlmostOrdered;10;0.001;15;0.001;16;0.001;5;
8;TreapTree;Random;10;0.002;2;0.001;3;0.001;2;
8;AVLTree;Random;10;0.002;12;0.001;7;0.002;11;
8;RedBlackTree;Random;10;0.002;14;0.001;7;0.002;17;
8;BinarySearchTree;Random;10;0;8;0;12;0.001;13;
8;BinarySearch;Random;10;0.001;10;0.001;4;0.001;7;
8;LinearSearch;Random;10;0.001;9;0.001;10;0.001;7;
8;TreapTree;Ordered;100;0.014;3;0.009;6;0.007;3;
8;AVLTree;Ordered;100;0.013;29;0.009;14;0.011;17;
8;RedBlackTree;Ordered;100;0.03;55;0.009;16;0.017;29;
8;BinarySearchTree;Ordered;100;0.016;53;0.025;102;0.025;103;
8;BinarySearch;Ordered;100;0.009;14;0.009;11;0.019;63;
8;LinearSearch;Ordered;100;0.053;150;0.049;151;0.003;5;
8;TreapTree;OrderedInverse;100;0.01;4;0.007;6;0.006;3;
8;AVLTree;OrderedInverse;100;0.012;23;0.008;15;0.01;21;
8;RedBlackTree;OrderedInverse;100;0.025;47;0.008;15;0.013;34;
8;BinarySearchTree;OrderedInverse;100;0.015;53;0.024;102;0.025;103;
8;BinarySearch;OrderedInverse;100;0.023;66;0.009;11;0.007;11;
8;LinearSearch;OrderedInverse;100;0.05;101;0.047;102;0.005;5;
8;TreapTree;AlmostOrdered;100;0.014;5;0.01;8;0.017;5;
8;AVLTree;AlmostOrdered;100;0.012;26;0.008;14;0.011;19;
8;RedBlackTree;AlmostOrdered;100;0.026;48;0.009;17;0.016;27;
8;BinarySearchTree;AlmostOrdered;100;0.02;53;0.025;102;0.025;102;
8;BinarySearch;AlmostOrdered;100;0.012;21;0.01;11;0.019;54;
8;LinearSearch;AlmostOrdered;100;0.049;120;0.043;121;0.007;9;
8;TreapTree;Random;100;0.016;6;0.011;7;0.013;5;
8;AVLTree;Random;100;0.022;25;0.01;15;0.014;20;
8;RedBlackTree;Random;100;0.023;30;0.01;15;0.017;27;
8;BinarySearchTree;Random;100;0.015;53;0.024;102;0.025;103;
8;BinarySearch;Random;100;0.021;40;0.011;11;0.016;36;
8;LinearSearch;Random;100;0.019;18;0.013;19;0.01;15;
8;TreapTree;Ordered;1000;0.207;7;0.132;13;0.083;6;
8;AVLTree;Ordered;1000;0.155;42;0.095;22;0.095;24;
8;RedBlackTree;Ordered;1000;0.479;92;0.106;24;0.196;43;
8;BinarySearchTree;Ordered;1000;1.119;503;2.197;1002;2.161;1003;
8;BinarySearch;Ordered;1000;0.077;20;0.105;19;1.298;522;
8;LinearSearch;Ordered;1000;5.524;1500;6.27;1501;0.029;5;
8;TreapTree;OrderedInverse;1000;0.152;6;0.105;11;0.08;5;
8;AVLTree;OrderedInverse;1000;0.136;33;0.084;23;0.075;31;
8;RedBlackTree;OrderedInverse;1000;0.362;77;0.085;23;0.136;53;
8;BinarySearchTree;OrderedInverse;1000;1.092;503;2.144;1002;2.152;1003;
8;BinarySearch;OrderedInverse;1000;1.59;526;0.093;19;0.077;17;
8;LinearSearch;OrderedInverse;1000;5.924;1001;5.074;1002;0.036;5;
8;TreapTree;AlmostOrdered;1000;0.161;8;0.128;12;0.126;8;
8;AVLTree;AlmostOrdered;1000;0.18;39;0.1;23;0.115;29;
8;RedBlackTree;AlmostOrdered;1000;0.375;81;0.108;29;0.153;40;
8;BinarySearchTree;AlmostOrdered;1000;1.09;503;2.132;1002;2.141;1002;
8;BinarySearch;AlmostOrdered;1000;0.283;80;0.108;19;1.212;462;
8;LinearSearch;AlmostOrdered;1000;5.721;1138;4.897;1139;0.075;14;
8;TreapTree;Random;1000;0.237;11;0.16;11;0.166;10;
8;AVLTree;Random;1000;0.193;36;0.122;23;0.16;32;
8;RedBlackTree;Random;1000;0.333;48;0.125;23;0.214;41;
8;BinarySearchTree;Random;1000;1.131;503;2.194;1002;2.247;1003;
8;BinarySearch;Random;1000;1.58;281;0.197;19;1.038;260;
8;LinearSearch;Random;1000;0.19;29;0.153;30;0.17;27;
9;TreapTree;Ordered;10;0.003;2;0.001;3;0.001;2;
9;AVLTree;Ordered;10;0.002;14;0.002;7;0.001;9;
9;RedBlackTree;Ordered;10;0.003;21;0.001;8;0.002;17;
9;BinarySearchTree;Ordered;10;0.001;8;0.001;12;0.001;13;
9;BinarySearch;Ordered;10;0.002;8;0.001;4;0.002;10;
9;LinearSearch;Ordered;10;0.002;15;0.001;16;0.001;5;
9;TreapTree;OrderedInverse;10;0.001;1;0.001;3;0.001;1;
9;AVLTree;OrderedInverse;10;0.001;12;0.001;7;0.002;11;
9;RedBlackTree;OrderedInverse;10;0.002;18;0;7;0.002;18;
9;BinarySearchTree;OrderedInverse;10;0.002;8;0.001;12;0.001;13;
9;BinarySearch;OrderedInverse;10;0.001;13;0.001;4;0.001;5;
9;LinearSearch;OrderedInverse;10;0.002;11;0.001;12;0.001;5;
9;TreapTree;AlmostOrdered;10;0.002;2;0.001;3;0.001;1;
9;AVLTree;AlmostOrdered;10;0.001;14;0.001;7;0.001;10;
9;RedBlackTree;AlmostOrdered;10;0.003;20;0.001;8;0.002;17;
9;BinarySearchTree;AlmostOrdered;10;0.001;8;0;12;0.001;13;
9;BinarySearch;AlmostOrdered;10;0.001;8;0.001;4;0.001;9;
9;LinearSearch;AlmostOrdered;10;0.002;14;0.001;15;0.001;5;
9;TreapTree;Random;10;0.002;2;0.001;3;0.001;2;
9;AVLTree;Random;10;0.002;9;0.001;7;0.002;10;
9;RedBlackTree;Random;10;0.002;12;0.001;7;0.002;17;
9;BinarySearchTree;Random;10;0.001;8;0.001;12;0.001;13;
9;BinarySearch;Random;10;0.002;10;0.001;4;0.001;7;
9;LinearSearch;Random;10;0.002;7;0.001;8;0.001;8;
9;TreapTree;Ordered;100;0.011;4;0.007;7;0.006;3;
9;AVLTree;Ordered;100;0.009;29;0.007;14;0.008;17;
9;RedBlackTree;Ordered;100;0.024;55;0.008;16;0.013;29;
9;BinarySearchTree;Ordered;100;0.014;53;0.025;102;0.025;103;
9;BinarySearch;Ordered;100;0.009;14;0.008;11;0.019;63;
9;LinearSearch;Ordered;100;0.054;150;0.049;151;0.003;5;
9;TreapTree;OrderedInverse;100;0.01;3;0.008;8;0.007;5;
9;AVLTree;OrderedInverse;100;0.009;23;0.006;15;0.008;21;
9;RedBlackTree;OrderedInverse;100;0.024;47;0.007;15;0.014;34;
9;BinarySearchTree;OrderedInverse;100;0.016;53;0.025;102;0.025;103;
9;BinarySearch;OrderedInverse;100;0.028;66;0.008;11;0.006;11;
9;LinearSearch;OrderedInverse;100;0.051;101;0.047;102;0.004;5;
9;TreapTree;AlmostOrdered;100;0.015;7;0.008;8;0.009;5;
9;AVLTree;AlmostOrdered;100;0.013;27;0.009;15;0.011;19;
9;RedBlackTree;AlmostOrdered;100;0.027;48;0.009;17;0.016;28;
9;BinarySearchTree;AlmostOrdered;100;0.02;53;0.025;102;0.026;103;
9;BinarySearch;AlmostOrdered;100;0.013;21;0.01;11;0.021;55;
9;LinearSearch;AlmostOrdered;100;0.052;121;0.047;122;0.008;10;
9;TreapTree;Random;100;0.016;6;0.01;7;0.013;6;
9;AVLTree;Random;100;0.015;24;0.011;15;0.014;20;
9;RedBlackTree;Random;100;0.028;31;0.014;15;0.021;28;
9;BinarySearchTree;Random;100;0.019;53;0.025;102;0.028;102;
9;BinarySearch;Random;100;0.023;39;0.013;11;0.019;36;
9;LinearSearch;Random;100;0.015;15;0.009;16;0.011;14;
9;TreapTree;Ordered;1000;0.189;6;0.117;11;0.083;6;
9;AVLTree;Ordered;1000;0.19;42;0.099;22;0.095;24;
9;RedBlackTree;Ordered;1000;0.51;92;0.108;24;0.21;43;
9;BinarySearchTree;Ordered;1000;1.163;503;2.221;1002;2.217;1003;
9;BinarySearch;Ordered;1000;0.114;20;0.12;19;2.199;522;
9;LinearSearch;Ordered;1000;6.139;1500;5.304;1501;0.031;5;
9;TreapTree;OrderedInverse;1000;0.116;6;0.111;12;0.081;7;
9;AVLTree;OrderedInverse;1000;0.122;33;0.09;23;0.085;31;
9;RedBlackTree;OrderedInverse;1000;0.366;77;0.086;23;0.145;53;
9;BinarySearchTree;OrderedInverse;1000;1.129;503;2.207;1002;2.274;1003;
9;BinarySearch;OrderedInverse;1000;1.705;526;0.107;19;0.079;17;
9;LinearSearch;OrderedInverse;1000;5.46;1001;5.128;1002;0.031;5;
9;TreapTree;AlmostOrdered;1000;0.17;9;0.114;11;0.112;7;
9;AVLTree;AlmostOrdered;1000;0.155;39;0.102;23;0.124;28;
9;RedBlackTree;AlmostOrdered;1000;0.38;81;0.14;29;0.176;40;
9;BinarySearchTree;AlmostOrdered;1000;1.144;503;2.167;1002;2.169;1003;
9;BinarySearch;AlmostOrdered;1000;0.315;86;0.116;19;1.124;456;
9;LinearSearch;AlmostOrdered;1000;4.243;1138;3.957;1139;0.075;14;
9;TreapTree;Random;1000;0.217;10;0.14;11;0.178;11;
9;AVLTree;Random;1000;0.192;36;0.125;23;0.211;32;
9;RedBlackTree;Random;1000;0.387;48;0.158;23;0.261;40;
9;BinarySearchTree;Random;1000;1.157;503;2.139;1002;2.156;1003;
9;BinarySearch;Random;1000;0.917;278;0.132;19;0.703;263;
9;LinearSearch;Random;1000;0.172;30;0.129;31;0.134;27;
10;TreapTree;Ordered;10;0.003;2;0.001;3;0.001;1;
10;AVLTree;Ordered;10;0.003;14;0.002;7;0.002;9;
10;RedBlackTree;Ordered;10;0.003;21;0.001;8;0.003;17;
10;BinarySearchTree;Ordered;10;0.001;8;0.001;12;0.001;13;
10;BinarySearch;Ordered;10;0.002;8;0.001;4;0.002;10;
10;LinearSearch;Ordered;10;0.002;15;0.001;16;0.001;5;
10;TreapTree;OrderedInverse;10;0.001;2;0.001;3;0.002;1;
10;AVLTree;OrderedInverse;10;0.004;12;0.001;7;0.002;11;
10;RedBlackTree;OrderedInverse;10;0.003;18;0.001;7;0.003;18;
10;BinarySearchTree;OrderedInverse;10;0.001;8;0.001;12;0;13;
10;BinarySearch;OrderedInverse;10;0.002;13;0.001;4;0.001;5;
10;LinearSearch;OrderedInverse;10;0.001;11;0.001;12;0.001;5;
10;TreapTree;AlmostOrdered;10;0.002;2;0.001;3;0.001;1;
10;AVLTree;AlmostOrdered;10;0.002;14;0.001;7;0.001;10;
10;RedBlackTree;AlmostOrdered;10;0.003;18;0.001;7;0.003;16;
10;BinarySearchTree;AlmostOrdered;10;0.002;8;0.001;12;0.001;13;
10;BinarySearch;AlmostOrdered;10;0.002;8;0.001;4;0.001;9;
10;LinearSearch;AlmostOrdered;10;0.001;14;0.001;15;0.001;5;
10;TreapTree;Random;10;0.001;2;0.001;3;0.002;3;
10;AVLTree;Random;10;0.002;10;0.001;7;0.001;10;
10;RedBlackTree;Random;10;0.002;12;0.002;7;0.003;15;
10;BinarySearchTree;Random;10;0.001;8;0.001;12;0;13;
10;BinarySearch;Random;10;0.002;10;0.002;4;0.002;8;
10;LinearSearch;Random;10;0.002;7;0.001;8;0.001;8;
10;TreapTree;Ordered;100;0.015;4;0.009;7;0.007;3;
10;AVLTree;Ordered;100;0.011;29;0.007;14;0.009;17;
10;RedBlackTree;Ordered;100;0.025;55;0.009;16;0.012;29;
10;BinarySearchTree;Ordered;100;0.015;53;0.024;102;0.025;103;
10;BinarySearch;Ordered;100;0.009;14;0.008;11;0.021;63;
10;LinearSearch;Ordered;100;0.059;150;0.053;151;0.004;5;
10;TreapTree;OrderedInverse;100;0.01;4;0.009;7;0.007;4;
10;AVLTree;OrderedInverse;100;0.009;23;0.008;15;0.008;21;
10;RedBlackTree;OrderedInverse;100;0.025;47;0.009;15;0.013;34;
10;BinarySearchTree;OrderedInverse;100;0.015;53;0.024;102;0.026;103;
10;BinarySearch;OrderedInverse;100;0.028;66;0.009;11;0.006;11;
10;LinearSearch;OrderedInverse;100;0.055;101;0.051;102;0.004;5;
10;TreapTree;AlmostOrdered;100;0.013;4;0.01;7;0.009;5;
10;AVLTree;AlmostOrdered;100;0.013;26;0.009;14;0.01;18;
10;RedBlackTree;AlmostOrdered;100;0.028;49;0.009;17;0.016;28;
10;BinarySearchTree;AlmostOrdered;100;0.015;53;0.024;102;0.025;103;
10;BinarySearch;AlmostOrdered;100;0.014;21;0.009;11;0.021;56;
10;LinearSearch;AlmostOrdered;100;0.052;119;0.046;120;0.007;8;
10;TreapTree;Random;100;0.016;5;0.009;7;0.014;6;
10;AVLTree;Random;100;0.015;24;0.008;15;0.015;21;
10;RedBlackTree;Random;100;0.024;31;0.01;15;0.018;28;
10;BinarySearchTree;Random;100;0.015;53;0.024;102;0.026;103;
10;BinarySearch;Random;100;0.023;43;0.011;11;0.017;32;
10;LinearSearch;Random;100;0.012;16;0.01;17;0.009;15;
10;TreapTree;Ordered;1000;0.125;7;0.105;12;0.07;6;
10;AVLTree;Ordered;1000;0.124;42;0.09;22;0.081;24;
10;RedBlackTree;Ordered;1000;0.37;92;0.096;24;0.129;43;
10;BinarySearchTree;Ordered;1000;1.083;503;2.128;1002;2.179;1003;
10;BinarySearch;Ordered;1000;0.076;20;0.091;19;1.435;522;
10;LinearSearch;Ordered;1000;5.6;1500;5.171;1501;0.026;5;
10;TreapTree;OrderedInverse;1000;0.113;6;0.109;12;0.075;6;
10;AVLTree;OrderedInverse;1000;0.113;33;0.078;23;0.08;31;
10;RedBlackTree;OrderedInverse;1000;0.356;77;0.085;23;0.142;53;
10;BinarySearchTree;OrderedInverse;1000;1.107;503;2.17;1002;2.174;1003;
10;BinarySearch;OrderedInverse;1000;1.615;526;0.097;19;0.075;17;
10;LinearSearch;OrderedInverse;1000;5.419;1001;5.059;1002;0.032;5;
10;TreapTree;AlmostOrdered;1000;0.166;9;0.13;12;0.127;8;
10;AVLTree;AlmostOrdered;1000;0.189;38;0.128;23;0.163;29;
10;RedBlackTree;AlmostOrdered;1000;0.474;81;0.141;29;0.185;40;
10;BinarySearchTree;AlmostOrdered;1000;1.117;503;2.142;1002;2.157;1003;
10;BinarySearch;AlmostOrdered;1000;0.298;84;0.109;19;1.139;458;
10;LinearSearch;AlmostOrdered;1000;4.336;1137;4.756;1138;0.115;13;
10;TreapTree;Random;1000;0.284;11;0.148;12;0.18;11;
10;AVLTree;Random;1000;0.232;36;0.148;23;0.198;32;
10;RedBlackTree;Random;1000;0.37;48;0.142;23;0.259;40;
10;BinarySearchTree;Random;1000;1.11;503;2.182;1002;2.151;1003;
10;BinarySearch;Random;1000;0.884;269;0.132;19;0.732;273;
10;LinearSearch;Random;1000;0.176;30;0.129;31;0.134;27;
